Sample	Tray	Weight
16	19	1.108
16	20	1.116
16	21	1.114
16	22	1.125
17	1	1.090
17	2	1.113
17	3	1.109
17	4	1.121
17	5	1.116
17	6	1.110
17	7	1.119
17	8	1.135
17	9	1.116
17	10	1.098
17	11	1.124
17	12	1.113
17	13	1.127
17	14	1.117
17	15	1.111
17	16	1.121
17	17	1.099
17	18	1.126
17	19	1.109
17	20	1.122
17	21	1.115
17	22	1.125
18	1	1.090
18	2	1.113
18	3	1.106
18	4	1.120
18	5	1.110
18	6	1.111
18	7	1.118
18	8	1.130
18	9	1.112
18	10	1.095
18	11	1.121
18	12	1.114
18	13	1.126
18	14	1.117
18	15	1.109
18	16	1.123
18	17	1.103
18	18	1.124
18	19	1.111
18	20	1.116
18	21	1.111
18	22	1.120
19	1	1.097
19	2	1.109
19	3	1.115
19	4	1.118
19	5	1.118
19	6	1.116
19	7	1.122
19	8	1.137
19	9	1.114
19	10	1.093
19	11	1.122
19	12	1.120
19	13	1.126
19	14	1.121
19	15	1.105
19	16	1.121
19	17	1.096
19	18	1.132
19	19	1.109
19	20	1.119
19	21	1.116
19	22	1.122
20	1	1.089
20	2	1.111
20	3	1.091
20	4	1.120
20	5	1.116
20	6	1.112
20	7	1.120
20	8	1.134
20	9	1.095
20	10	1.094
20	11	1.127
20	12	1.113
20	13	1.130
20	14	1.112
20	15	1.109
20	16	1.128
20	17	1.098
20	18	1.129
20	19	1.107
20	20	1.123
20	21	1.117
20	22	1.119
21	1	1.088
21	2	1.110
21	3	1.088
21	4	1.118
21	5	1.114
21	6	1.110
21	7	1.120
21	8	1.132
21	9	1.099
21	10	1.099
21	11	1.121
21	12	1.099
21	13	1.125
21	14	1.113
21	15	1.100
21	16	1.126
21	17	1.076
21	18	1.125
21	19	1.108
21	20	1.121
21	21	1.093
21	22	1.108
22	1	1.093
22	2	1.109
22	3	1.085
22	4	1.115
22	5	1.115
22	6	1.115
22	7	1.118
22	8	1.133
22	9	1.088
22	10	1.096
22	11	1.120
22	12	1.098
22	13	1.129
22	14	1.116
22	15	1.116
22	16	1.123
22	17	1.071
22	18	1.126
22	19	1.103
22	20	1.121
22	21	1.099
22	22	1.105
23	1	1.094
23	2	1.105
23	3	1.092
23	4	1.121
23	5	1.113
23	6	1.115
23	7	1.120
23	8	1.132
23	9	1.092
23	10	1.095
23	11	1.122
23	12	1.100
23	13	1.129
23	14	1.113
23	15	1.099
23	16	1.123
23	17	1.086
23	18	1.126
23	19	1.105
23	20	1.124
23	21	1.093
23	22	1.109
24	1	1.097
24	2	1.111
24	3	1.090
24	4	1.115
24	5	1.116
24	6	1.112
24	7	1.120
24	8	1.131
24	9	1.090
24	10	1.096
24	11	1.123
24	12	1.102
24	13	1.129
24	14	1.117
24	15	1.104
24	16	1.123
24	17	1.087
24	18	1.129
24	19	1.103
24	20	1.104
24	21	1.094
24	22	1.112
25	1	1.092
25	2	1.104
25	3	1.083
25	4	1.114
25	5	1.109
25	6	1.107
25	7	1.122
25	8	1.128
25	9	1.089
25	10	1.098
25	11	1.118
25	12	1.094
25	13	1.122
25	14	1.112
25	15	1.099
25	16	1.118
25	17	1.076
25	18	1.126
25	19	1.101
25	20	1.095
25	21	1.097
25	22	1.113
26	1	1.102
26	2	1.113
26	3	1.091
26	4	1.117
26	5	1.119
26	6	1.116
26	7	1.125
26	8	1.139
26	9	1.099
26	10	1.100
26	11	1.127
26	12	1.097
26	13	1.134
26	14	1.118
26	15	1.106
26	16	1.119
26	17	1.082
26	18	1.130
26	19	1.114
26	20	1.105
26	21	1.102
26	22	1.126
27	1	1.096
27	2	1.111
27	3	1.090
27	4	1.115
27	5	1.114
27	6	1.112
27	7	1.120
27	8	1.137
27	9	1.095
27	10	1.099
27	11	1.122
27	12	1.101
27	13	1.131
27	14	1.115
27	15	1.094
27	16	1.115
27	17	1.100
27	18	1.123
27	19	1.111
27	20	1.103
27	21	1.093
27	22	1.124
28	1	1.091
28	2	1.107
28	3	1.096
28	4	1.112
28	5	1.111
28	6	1.113
28	7	1.119
28	8	1.135
28	9	1.093
28	10	1.100
28	11	1.123
28	12	1.092
28	13	1.128
28	14	1.117
28	15	1.100
28	16	1.115
28	17	1.096
28	18	1.123
28	19	1.109
28	20	1.100
28	21	1.096
28	22	1.124
29	1	1.094
29	2	1.105
29	3	1.093
29	4	1.115
29	5	1.112
29	6	1.117
29	7	1.127
29	8	1.132
29	9	1.099
29	10	1.101
29	11	1.122
29	12	1.093
29	13	1.133
29	14	1.118
29	15	1.100
29	16	1.115
29	17	1.097
29	18	1.110
29	19	1.110
29	20	1.101
29	21	1.102
29	22	1.126
30	1	1.089
30	2	1.111
30	3	1.097
30	4	1.114
30	5	1.113
30	6	1.114
30	7	1.120
30	8	1.134
30	9	1.097
30	10	1.099
30	11	1.124
30	12	1.088
30	13	1.125
30	14	1.103
30	15	1.095
30	16	1.113
30	17	1.098
30	18	1.111
30	19	1.106
30	20	1.096
30	21	1.100
30	22	1.128
31	1	1.077
31	2	1.103
31	3	1.094
31	4	1.116
31	5	1.112
31	6	1.098
31	7	1.120
31	8	1.137
31	9	1.097
31	10	1.096
31	11	1.122
31	12	1.102
31	13	1.128
31	14	1.104
31	15	1.095
31	16	1.112
31	17	1.100
31	18	1.108
31	19	1.106
31	20	1.101
31	21	1.096
31	22	1.107
32	1	1.079
32	2	1.104
32	3	1.092
32	4	1.117
32	5	1.115
32	6	1.092
32	7	1.127
32	8	1.138
32	9	1.099
32	10	1.099
32	11	1.124
32	12	1.101
32	13	1.130
32	14	1.108
32	15	1.098
32	16	1.113
32	17	1.104
32	18	1.114
32	19	1.108
32	20	1.103
32	21	1.099
32	22	1.116
33	1	1.072
33	2	1.101
33	3	1.093
33	4	1.113
33	5	1.111
33	6	1.092
33	7	1.120
33	8	1.131
33	9	1.099
33	10	1.096
33	11	1.117
33	12	1.100
33	13	1.127
33	14	1.102
33	15	1.100
33	16	1.111
33	17	1.097
33	18	1.111
33	19	1.106
33	20	1.100
33	21	1.091
33	22	1.115
34	1	1.069
34	2	1.104
34	3	1.086
34	4	1.116
34	5	1.111
34	6	1.096
34	7	1.120
34	8	1.129
34	9	1.094
34	10	1.097
34	11	1.120
34	12	1.101
34	13	1.129
34	14	1.107
34	15	1.092
34	16	1.109
34	17	1.096
34	18	1.111
34	19	1.103
34	20	1.102
34	21	1.100
34	22	1.114
35	1	1.074
35	2	1.105
35	3	1.088
35	4	1.111
35	5	1.115
35	6	1.096
35	7	1.121
35	8	1.131
35	9	1.098
35	10	1.096
35	11	1.124
35	12	1.102
35	13	1.123
35	14	1.101
35	15	1.103
35	16	1.113
35	17	1.096
35	18	1.108
35	19	1.108
35	20	1.100
35	21	1.102
35	22	1.114
36	1	1.078
36	2	1.108
36	3	1.087
36	4	1.116
36	5	1.112
36	6	1.094
36	7	1.122
36	8	1.130
36	9	1.097
36	10	1.097
36	11	1.121
36	12	1.092
36	13	1.121
36	14	1.105
36	15	1.091
36	16	1.112
36	17	1.102
36	18	1.110
36	19	1.110
36	20	1.104
36	21	1.096
36	22	1.115
37	1	1.073
37	2	1.108
37	3	1.086
37	4	1.109
37	5	1.110
37	6	1.092
37	7	1.126
37	8	1.132
37	9	1.101
37	10	1.097
37	11	1.121
37	12	1.097
37	13	1.127
37	14	1.104
37	15	1.095
37	16	1.114
37	17	1.101
37	18	1.108
37	19	1.105
37	20	1.099
37	21	1.104
37	22	1.111
38	1	1.080
38	2	1.104
38	3	1.092
38	4	1.115
38	5	1.110
38	6	1.095
38	7	1.122
38	8	1.136
38	9	1.099
38	10	1.097
38	11	1.121
38	12	1.093
38	13	1.123
38	14	1.105
38	15	1.104
38	16	1.112
38	17	1.099
38	18	1.106
38	19	1.108
38	20	1.100
38	21	1.104
38	22	1.109
39	1	1.079
39	2	1.110
39	3	1.089
39	4	1.120
39	5	1.113
39	6	1.099
39	7	1.123
39	8	1.133
39	9	1.096
39	10	1.099
39	11	1.122
39	12	1.101
39	13	1.124
39	14	1.104
39	15	1.097
39	16	1.115
39	17	1.101
39	18	1.116
39	19	1.110
39	20	1.104
39	21	1.107
39	22	1.116
40	1	1.079
40	2	1.105
40	3	1.097
40	4	1.119
40	5	1.117
40	6	1.096
40	7	1.125
40	8	1.139
40	9	1.102
40	10	1.100
40	11	1.122
40	12	1.101
40	13	1.125
40	14	1.107
40	15	1.097
40	16	1.117
40	17	1.103
40	18	1.114
40	19	1.109
40	20	1.104
40	21	1.110
40	22	1.117
41	1	1.072
41	2	1.107
41	3	1.091
41	4	1.118
41	5	1.115
41	6	1.097
41	7	1.125
41	8	1.132
41	9	1.102
41	10	1.099
41	11	1.126
41	12	1.102
41	13	1.133
41	14	1.109
41	15	1.099
41	16	1.118
41	17	1.102
41	18	1.111
41	19	1.111
41	20	1.108
41	21	1.099
41	22	1.114
42	1	1.091
42	2	1.103
42	3	1.108
42	4	1.116
42	5	1.112
42	6	1.124
42	7	1.127
42	8	1.133
42	9	1.118
42	10	1.099
42	11	1.122
42	12	1.120
42	13	1.131
42	14	1.119
42	15	1.117
42	16	1.115
42	17	1.122
42	18	1.129
42	19	1.110
42	20	1.124
42	21	1.124
42	22	1.132
43	1	1.096
43	2	1.104
43	3	1.111
43	4	1.116
43	5	1.115
43	6	1.117
43	7	1.127
43	8	1.137
43	9	1.120
43	10	1.099
43	11	1.125
43	12	1.117
43	13	1.124
43	14	1.115
43	15	1.120
43	16	1.114
43	17	1.117
43	18	1.128
43	19	1.110
43	20	1.124
43	21	1.120
43	22	1.124
44	1	1.092
44	2	1.109
44	3	1.112
44	4	1.116
44	5	1.111
44	6	1.122
44	7	1.122
44	8	1.139
44	9	1.118
44	10	1.100
44	11	1.121
44	12	1.114
44	13	1.123
44	14	1.113
44	15	1.116
44	16	1.115
44	17	1.119
44	18	1.128
44	19	1.108
44	20	1.125
44	21	1.127
44	22	1.129
45	1	1.098
45	2	1.111
45	3	1.109
45	4	1.114
45	5	1.111
45	6	1.122
45	7	1.127
45	8	1.131
45	9	1.118
45	10	1.099
45	11	1.121
45	12	1.113
45	13	1.127
45	14	1.116
45	15	1.116
45	16	1.112
45	17	1.118
45	18	1.128
45	19	1.110
45	20	1.123
45	21	1.123
45	22	1.125
46	1	1.092
46	2	1.114
46	3	1.109
46	4	1.111
46	5	1.109
46	6	1.117
46	7	1.121
46	8	1.138
46	9	1.119
46	10	1.099
46	11	1.120
46	12	1.119
46	13	1.129
46	14	1.114
46	15	1.116
46	16	1.110
46	17	1.118
46	18	1.129
46	19	1.110
46	20	1.126
46	21	1.122
46	22	1.125
47	1	1.089
47	2	1.113
47	3	1.110
47	4	1.112
47	5	1.116
47	6	1.116
47	7	1.122
47	8	1.132
47	9	1.117
47	10	1.097
47	11	1.121
47	12	1.114
47	13	1.124
47	14	1.115
47	15	1.117
47	16	1.113
47	17	1.118
47	18	1.128
47	19	1.111
47	20	1.124
47	21	1.121
47	22	1.126
48	1	1.096
48	2	1.112
48	3	1.105
48	4	1.114
48	5	1.114
48	6	1.118
48	7	1.121
48	8	1.129
48	9	1.118
48	10	1.098
48	11	1.124
48	12	1.111
48	13	1.123
48	14	1.113
48	15	1.116
48	16	1.112
48	17	1.116
48	18	1.128
48	19	1.106
48	20	1.124
48	21	1.122
48	22	1.119
49	1	1.089
49	2	1.113
49	3	1.105
49	4	1.116
49	5	1.108
49	6	1.115
49	7	1.119
49	8	1.130
49	9	1.118
49	10	1.095
49	11	1.125
49	12	1.112
49	13	1.125
49	14	1.114
49	15	1.115
49	16	1.109
49	17	1.119
49	18	1.131
49	19	1.107
49	20	1.125
49	21	1.121
49	22	1.122
50	1	1.091
50	2	1.112
50	3	1.108
50	4	1.114
50	5	1.110
50	6	1.113
50	7	1.120
50	8	1.133
50	9	1.112
50	10	1.095
50	11	1.121
50	12	1.110
50	13	1.128
50	14	1.112
50	15	1.115
50	16	1.110
50	17	1.121
50	18	1.126
50	19	1.109
50	20	1.122
50	21	1.124
50	22	1.119
51	1	1.090
51	2	1.111
51	3	1.108
51	4	1.113
51	5	1.111
51	6	1.114
51	7	1.122
51	8	1.137
51	9	1.115
51	10	1.097
51	11	1.121
51	12	1.114
51	13	1.124
51	14	1.114
51	15	1.119
51	16	1.117
51	17	1.127
51	18	1.128
51	19	1.110
51	20	1.123
51	21	1.126
51	22	1.127
52	1	1.094
52	2	1.111
52	3	1.109
52	4	1.119
52	5	1.114
52	6	1.115
52	7	1.123
52	8	1.133
52	9	1.116
52	10	1.099
52	11	1.121
52	12	1.113
52	13	1.125
52	14	1.118
52	15	1.119
52	16	1.115
52	17	1.127
52	18	1.131
52	19	1.110
52	20	1.128
52	21	1.127
52	22	1.122
53	1	1.092
